,HS부호,한글품목명,영문품목명,중량단위코드
0,101211000,농가 사육용,For farm breeding,KG
1,101219000,기타,Other,KG
2,101291000,경주말,Horses for racing,KG
3,101299000,기타,Other,KG
4,101300000,당나귀,Asses,KG
5,101900000,기타,Other,KG
6,102211000,젖소,For milk ,KG
7,102212000,육우(肉牛),For meat,KG
8,102219000,기타,Other,KG
9,102291000,젖소,For milk ,KG
10,102292000,육우(肉牛),For meat,KG
11,102299000,기타,Other,KG
12,102310000,번식용,Pure-bred breeding animals,KG
13,102391000,젖소,For milk ,KG
14,102392000,육우(肉牛),For meat,KG
15,102399000,기타,Other,KG
16,102901000,번식용,Pure-bred breeding animals,KG
17,1029090,기타,Other,
18,102909010,젖소,For milk,KG
19,102909020,육우(肉牛),For meat,KG
20,102909090,기타,Other,KG
21,103100000,번식용,Pure-bred breeding animals,KG
22,103910000,중량이 50킬로그램 미만인 것,Weighing less than 50 kg,KG
23,103920000,중량이 50킬로그램 이상인 것,Weighing 50 kg or more,KG
24,104101000,번식용,Pure-bred breeding animals,KG
25,104109000,기타,Other,KG
26,104201000,젖염소,Milk goats,KG
27,104209000,기타,Other,KG
28,105111000,번식용,Pure-bred breeding animals,KG
29,105119000,기타,Other,KG
30,105120000,칠면조,Turkeys,KG
31,105131000,번식용,Pure-bred breeding animals,KG
32,105139000,기타,Other,KG
33,105140000,거위,Geese,KG
34,105150000,기니아새,Guinea fowls,KG
35,105941000,번식용,Pure-bred breeding animals,KG
36,105949000,기타,Other,KG
37,1059910,오리,Ducks,
38,105991010,번식용,Pure-bred breeding animals,KG
39,105991090,기타,Other,KG
40,105992000,칠면조,Turkeys,KG
41,105999000,기타,Other,KG
42,106110000,영장류,Primates,KG
43,106121000,"고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",KG
44,106122000,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)","Seals, sea lions and walruses (mammals of the suborder Pinnipedia)",KG
45,106130000,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],Camels and other camelids (Camelidae),KG
46,106141000,번식용,Pure-bred breeding animals,KG
47,106149000,기타,Other,KG
48,106191000,개,Dogs,KG
49,106193000,사슴,Deer,KG
50,106194000,곰,Bears,KG
51,1061950,여우,Fox,
52,106195010,번식용,Pure-bred breeding animals,KG
53,106195090,기타,Other,KG
54,1061960,밍크,Mink,
55,106196010,번식용,Pure-bred breeding animals,KG
56,106196090,기타,Other,KG
57,106199000,기타,Other,KG
58,106201000,뱀,Snakes,KG
59,106202000,자라,Fresh-water tortoises,KG
60,106203000,거북,Turtles,KG
61,106209000,기타,Other,KG
62,106310000,맹금류,Birds of prey,KG
63,106320000,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",KG
64,106330000,타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)],Ostriches; emus (Dromaius novaehollandiae),KG
65,106390000,기타,Other,KG
66,106410000,벌,Bees,KG
67,106490000,기타,Other,KG
68,106901000,양서류,Amphibia,KG
69,1069030,환형동물류,Annelida,
70,106903010,갯지렁이,Lug worms,KG
71,106903020,실지렁이,Sludge worms,KG
72,106903090,기타,Other,KG
73,106909000,기타,Other,KG
74,201100000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses,KG
75,201201000,갈비,Short ribs,KG
76,201209000,기타,Other,KG
77,201300000,뼈 없는 것,Boneless,KG
78,202100000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses,KG
79,202201000,갈비,Short ribs,KG
80,202209000,기타,Other,KG
81,202300000,뼈 없는 것,Boneless,KG
82,203110000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses,KG
83,203120000,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),"Hams, shoulders and cuts thereof, with bone in",KG
84,203191000,삼겹살,Streaky pork,KG
85,203199000,기타,Other,KG
86,203210000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses,KG
87,203220000,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),"Hams, shoulders and cuts thereof, with bone in",KG
88,203291000,삼겹살,Streaky pork,KG
89,203299000,기타,Other,KG
90,204100000,어린 면양의 도체(屠體)와 이분도체(二分屠體)(신선한 것이나 냉장한 것으로 한정한다),"Carcasses and half-carcasses of lamb, fresh or chilled",KG
91,204210000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses,KG
92,204220000,그 밖의 것으로서 뼈째로 절단한 것,Other cuts with bone in,KG
93,204230000,뼈 없는 것,Boneless,KG
94,204300000,어린 면양의 도체(屠體)와 이분도체(二分屠體)(냉동한 것으로 한정한다),"Carcasses and half-carcasses of lamb, frozen",KG
95,204410000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses,KG
96,204420000,그 밖의 것으로서 뼈째로 절단한 것,Other cuts with bone in,KG
97,204430000,뼈 없는 것,Boneless,KG
98,204500000,염소의 고기,Meat of goats,KG
99,205000000,"말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",KG
100,206100000,소의 것(신선한 것이나 냉장한 것으로 한정한다),"Of bovine animals, fresh or chilled",KG
101,206210000,혀,Tongues,KG
102,206220000,간,Livers,KG
103,206291000,꼬리,Tails,KG
104,206292000,족,Feet,KG
105,206299000,기타,Other,KG
106,206300000,돼지의 것(신선한 것이나 냉장한 것으로 한정한다),"Of swine, fresh or chilled",KG
107,206410000,간,Livers,KG
108,206491000,족,Feet,KG
109,206499000,기타,Other,KG
110,206800000,기타(신선한 것이나 냉장한 것으로 한정한다),"Other, fresh or chilled",KG
111,206900000,기타(냉동한 것으로 한정한다),"Other, frozen",KG
112,207110000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled",KG
113,207120000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen",KG
114,207131000,절단육,Cuts,KG
115,2071320,설육(屑肉),Offal,
116,207132010,간,Liver,KG
117,207132090,기타,Other,KG
118,2071410,절단육,Cuts,
119,207141010,다리,Leg,KG
120,207141020,가슴,Breast,KG
121,207141030,날개,Wing,KG
122,207141090,기타,Other,KG
123,2071420,설육(屑肉),Offal,
124,207142010,간,Liver,KG
125,207142090,기타,Other,KG
126,207240000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled",KG
127,207250000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen",KG
128,207261000,절단육,Cuts,KG
129,2072620,설육(屑肉),Offal,
130,207262010,간,Liver,KG
131,207262090,기타,Other,KG
132,207271000,절단육,Cuts,KG
133,2072720,설육(屑肉),Offal,
134,207272010,간,Liver,KG
135,207272090,기타,Other,KG
136,207410000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled",KG
137,207420000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen",KG
138,207430000,지방간(신선한 것이나 냉장한 것으로 한정한다),"Fatty livers, fresh or chilled",KG
139,207441000,절단육,Cuts,KG
140,2074420,설육(屑肉),Offal,
141,207442010,간,Liver,KG
142,207442090,기타,Other,KG
143,207451000,절단육,Cuts,KG
144,2074520,설육(屑肉),Offal,
145,207452010,간,Liver,KG
146,207452090,기타,Other,KG
147,207510000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled",KG
148,207520000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen",KG
149,207530000,지방간(신선한 것이나 냉장한 것으로 한정한다),"Fatty livers, fresh or chilled",KG
150,207541000,절단육,Cuts,KG
151,2075420,설육(屑肉),Offal,
152,207542010,간,Liver,KG
153,207542090,기타,Other,KG
154,207551000,절단육,Cuts,KG
155,2075520,설육(屑肉),Offal,
156,207552010,간,Liver,KG
157,207552090,기타,Other,KG
158,207601000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled",KG
159,207602000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen",KG
160,207603,기타(신선한 것이나 냉장한 것으로 한정한다),"Other, fresh or chilled",
161,207603100,절단육,Cuts,KG
162,2076032,설육(屑肉),Offal,
163,207603210,간,Liver,KG
164,207603290,기타,Other,KG
165,207604,기타(냉동한 것으로 한정한다),"Other, frozen",
166,207604100,절단육,Cuts,KG
167,2076042,설육(屑肉),Offal,
168,207604210,간,Liver,KG
169,207604290,기타,Other,KG
170,208100000,토끼의 것,Of rabbits or hares,KG
171,208300000,영장류의 것,Of primates,KG
172,208401000,"고래 ∙ 돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티·듀공(바다소목의 포유동물)의 것","Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)",KG
